Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,0.1058,1,2,cbr,1000,-------,2,1.0,0.0,0,0,
r,0.1218,1,2,cbr,1000,-------,2,1.0,0.0,2,2,
r,0.1298,1,2,cbr,1000,-------,2,1.0,0.0,3,3,
r,0.1378,1,2,cbr,1000,-------,2,1.0,0.0,4,4,
r,0.1458,1,2,cbr,1000,-------,2,1.0,0.0,5,5,
r,0.1538,1,2,cbr,1000,-------,2,1.0,0.0,6,6,
r,0.1618,1,2,cbr,1000,-------,2,1.0,0.0,7,7,
r,0.1698,1,2,cbr,1000,-------,2,1.0,0.0,8,8,
r,0.1778,1,2,cbr,1000,-------,2,1.0,0.0,9,9,
r,0.1858,1,2,cbr,1000,-------,2,1.0,0.0,10,10,
r,0.1938,1,2,cbr,1000,-------,2,1.0,0.0,11,11,
r,0.2018,1,2,cbr,1000,-------,2,1.0,0.0,12,12,
r,0.2178,1,2,cbr,1000,-------,2,1.0,0.0,14,16,
r,0.2338,1,2,cbr,1000,-------,2,1.0,0.0,16,20,
r,0.2418,1,2,cbr,1000,-------,2,1.0,0.0,17,23,
r,0.2658,1,2,cbr,1000,-------,2,1.0,0.0,20,34,
r,0.2738,1,2,cbr,1000,-------,2,1.0,0.0,21,43,
r,0.2818,1,2,cbr,1000,-------,2,1.0,0.0,22,45,
r,0.2898,1,2,cbr,1000,-------,2,1.0,0.0,23,53,
r,0.2978,1,2,cbr,1000,-------,2,1.0,0.0,24,70,
r,0.3058,1,2,cbr,1000,-------,2,1.0,0.0,25,75,
r,0.3138,1,2,cbr,1000,-------,2,1.0,0.0,26,90,
r,0.3378,1,2,cbr,1000,-------,2,1.0,0.0,29,131,
r,0.3458,1,2,cbr,1000,-------,2,1.0,0.0,30,146,
r,0.3538,1,2,cbr,1000,-------,2,1.0,0.0,31,163,
r,0.3698,1,2,cbr,1000,-------,2,1.0,0.0,33,195,
r,0.3778,1,2,cbr,1000,-------,2,1.0,0.0,34,208,
r,0.4018,1,2,cbr,1000,-------,2,1.0,0.0,37,257,
r,0.4098,1,2,cbr,1000,-------,2,1.0,0.0,38,273,
r,0.4178,1,2,cbr,1000,-------,2,1.0,0.0,39,289,
r,0.4498,1,2,cbr,1000,-------,2,1.0,0.0,43,353,
r,0.4578,1,2,cbr,1000,-------,2,1.0,0.0,44,368,
r,0.4658,1,2,cbr,1000,-------,2,1.0,0.0,45,383,
r,0.4898,1,2,cbr,1000,-------,2,1.0,0.0,48,430,
r,0.4978,1,2,cbr,1000,-------,2,1.0,0.0,49,445,
r,0.5058,1,2,cbr,1000,-------,2,1.0,0.0,50,461,
r,0.5218,1,2,cbr,1000,-------,2,1.0,0.0,52,494,
r,0.5298,1,2,cbr,1000,-------,2,1.0,0.0,53,507,
r,0.5538,1,2,cbr,1000,-------,2,1.0,0.0,56,556,
r,0.6018,1,2,cbr,1000,-------,2,1.0,0.0,62,652,
r,0.6098,1,2,cbr,1000,-------,2,1.0,0.0,63,667,
r,0.6258,1,2,cbr,1000,-------,2,1.0,0.0,65,698,
r,0.6418,1,2,cbr,1000,-------,2,1.0,0.0,67,729,
r,0.6498,1,2,cbr,1000,-------,2,1.0,0.0,68,744,
r,0.6578,1,2,cbr,1000,-------,2,1.0,0.0,69,760,
r,0.7058,1,2,cbr,1000,-------,2,1.0,0.0,75,855,
r,0.7298,1,2,cbr,1000,-------,2,1.0,0.0,78,903,
r,0.7378,1,2,cbr,1000,-------,2,1.0,0.0,79,917,
r,0.7538,1,2,cbr,1000,-------,2,1.0,0.0,81,951,
r,0.7618,1,2,cbr,1000,-------,2,1.0,0.0,82,966,
r,0.7778,1,2,cbr,1000,-------,2,1.0,0.0,84,997,
r,0.7858,1,2,cbr,1000,-------,2,1.0,0.0,85,1014,
r,0.8018,1,2,cbr,1000,-------,2,1.0,0.0,87,1043,
r,0.8098,1,2,cbr,1000,-------,2,1.0,0.0,88,1059,
r,0.8418,1,2,cbr,1000,-------,2,1.0,0.0,92,1124,
r,0.8498,1,2,cbr,1000,-------,2,1.0,0.0,93,1139,
r,0.8578,1,2,cbr,1000,-------,2,1.0,0.0,94,1154,
r,0.8818,1,2,cbr,1000,-------,2,1.0,0.0,97,1201,
r,0.8898,1,2,cbr,1000,-------,2,1.0,0.0,98,1216,
r,0.9058,1,2,cbr,1000,-------,2,1.0,0.0,100,1250,
r,0.9138,1,2,cbr,1000,-------,2,1.0,0.0,101,1265,
r,0.9298,1,2,cbr,1000,-------,2,1.0,0.0,103,1296,
r,0.9378,1,2,cbr,1000,-------,2,1.0,0.0,104,1312,
r,0.9538,1,2,cbr,1000,-------,2,1.0,0.0,106,1342,
r,0.9618,1,2,cbr,1000,-------,2,1.0,0.0,107,1358,
r,0.9938,1,2,cbr,1000,-------,2,1.0,0.0,111,1422,
r,1.0018,1,2,cbr,1000,-------,2,1.0,0.0,112,1438,
r,1.0098,1,2,cbr,1000,-------,2,1.0,0.0,113,1453,
r,1.0338,1,2,cbr,1000,-------,2,1.0,0.0,116,1500,
r,1.0418,1,2,cbr,1000,-------,2,1.0,0.0,117,1515,
r,1.0498,1,2,cbr,1000,-------,2,1.0,0.0,118,1530,
r,1.0738,1,2,cbr,1000,-------,2,1.0,0.0,121,1577,
r,1.0818,1,2,cbr,1000,-------,2,1.0,0.0,122,1595,
r,1.0898,1,2,cbr,1000,-------,2,1.0,0.0,123,1611,
r,1.1458,1,2,cbr,1000,-------,2,1.0,0.0,130,1721,
r,1.1538,1,2,cbr,1000,-------,2,1.0,0.0,131,1737,
r,1.1698,1,2,cbr,1000,-------,2,1.0,0.0,133,1767,
r,1.1778,1,2,cbr,1000,-------,2,1.0,0.0,134,1784,
r,1.1938,1,2,cbr,1000,-------,2,1.0,0.0,136,1814,
r,1.2018,1,2,cbr,1000,-------,2,1.0,0.0,137,1829,
r,1.2258,1,2,cbr,1000,-------,2,1.0,0.0,140,1876,
r,1.2338,1,2,cbr,1000,-------,2,1.0,0.0,141,1894,
r,1.2418,1,2,cbr,1000,-------,2,1.0,0.0,142,1910,
r,1.2738,1,2,cbr,1000,-------,2,1.0,0.0,146,1973,
r,1.2818,1,2,cbr,1000,-------,2,1.0,0.0,147,1987,
r,1.2978,1,2,cbr,1000,-------,2,1.0,0.0,149,2020,
r,1.3058,1,2,cbr,1000,-------,2,1.0,0.0,150,2036,
r,1.3218,1,2,cbr,1000,-------,2,1.0,0.0,152,2066,
r,1.3298,1,2,cbr,1000,-------,2,1.0,0.0,153,2082,
r,1.3458,1,2,cbr,1000,-------,2,1.0,0.0,155,2113,
r,1.3538,1,2,cbr,1000,-------,2,1.0,0.0,156,2128,
r,1.3778,1,2,cbr,1000,-------,2,1.0,0.0,159,2175,
r,1.4258,1,2,cbr,1000,-------,2,1.0,0.0,165,2271,
r,1.4338,1,2,cbr,1000,-------,2,1.0,0.0,166,2286,
r,1.4418,1,2,cbr,1000,-------,2,1.0,0.0,167,2301,
r,1.4578,1,2,cbr,1000,-------,2,1.0,0.0,169,2335,
r,1.4738,1,2,cbr,1000,-------,2,1.0,0.0,171,2365,
r,1.4818,1,2,cbr,1000,-------,2,1.0,0.0,172,2381,
r,1.5298,1,2,cbr,1000,-------,2,1.0,0.0,178,2474,
r,1.5538,1,2,cbr,1000,-------,2,1.0,0.0,181,2522,
r,1.5618,1,2,cbr,1000,-------,2,1.0,0.0,182,2537,
r,1.5778,1,2,cbr,1000,-------,2,1.0,0.0,184,2570,
r,1.5858,1,2,cbr,1000,-------,2,1.0,0.0,185,2585,
r,1.5938,1,2,cbr,1000,-------,2,1.0,0.0,186,2599,
r,1.6098,1,2,cbr,1000,-------,2,1.0,0.0,188,2634,
r,1.6258,1,2,cbr,1000,-------,2,1.0,0.0,190,2664,
r,1.6338,1,2,cbr,1000,-------,2,1.0,0.0,191,2680,
r,1.6658,1,2,cbr,1000,-------,2,1.0,0.0,195,2745,
